2|2|Name the capital of Chile.|Santiago|10|Capitals
4|4|Name the capital of Equador.|Quito|15|Capitals
5|5|Name the capital of Venezuela.|Caracas|15|Capitals
7|7|Name the capital of Dominican Republic.|Santo Domingo|10|Capitals
12|12|Name the capital of Barbados.|Bridgetown|10|Capitals
17|17|Name the capital of Denmark.|Copenhagen|15|Capitals
20|20|Name the capital of United Kingdom (England).|London|5|Capitals
24|24|Name the capital of Greenland.|Nuuk|10|Capitals
25|25|Name the capital of Norway.|Oslo|10|Capitals
26|26|Name the capital of Czech Republic.|Prague|15|Capitals
27|27|Name the capital of Latvia.|Riga|10|Capitals
28|28|Name the capital of Bosnia & Herzegovina.|Sarajevo|20|Capitals
30|30|Name the capital of Estonia.|Tallinn|15|Capitals
32|32|Name the capital of Liechtenstein.|Vaduz|15|Capitals
33|33|Name the capital of Lithuania.|Vilnius|15|Capitals
35|35|Name the capital of Croatia.|Zagreb|20|Capitals
36|36|Name the capital of United Arab Emirates.|Abu Dhabi|15|Capitals
37|37|Name the capital of Azerbaijan.|Baku|15|Capitals
38|38|Name the capital of Thailand.|Bangkok|10|Capitals
40|40|Name the capital of Bangladesh.|Dhaka|15|Capitals
41|41|Name the capital of Viet Nam.|Hanoi|10|Capitals
42|42|Name the capital of Tibet.|Lhasa|15|Capitals
43|43|Name the capital of Bahrain.|Manama|15|Capitals
45|45|Name the capital of Oman.|Muscat|10|Capitals
48|48|Name the capital of Japan.|Tokyo|5|Capitals
50|50|Name the capital of Laos.|Vientiane|15|Capitals
51|51|Name the capital of Alabama.|Montgomery|10|Capitals
52|52|Name the capital of Alaska.|Juneau|15|Capitals
58|58|Name the capital of Delaware.|Dover|15|Capitals
60|60|Name the capital of Georgia.|Atlanta|5|Capitals
61|61|Name the capital of Hawaii.|Honolulu|5|Capitals
62|62|Name the capital of Idaho.|Boise|10|Capitals
63|63|Name the capital of Illinois.|Springfield|15|Capitals
65|65|Name the capital of Iowa.|Des Moines|10|Capitals
66|66|Name the capital of Kansas.|Topeka|5|Capitals
69|69|Name the capital of Maine.|Augusta|15|Capitals
71|71|Name the capital of Massachusetts.|Boston|5|Capitals
73|73|Name the capital of Minnesota.|St. Paul|20|Capitals
77|77|Name the capital of Nebraska.|Lincoln|10|Capitals
82|82|Name the capital of New York.|Albany|10|Capitals
83|83|Name the capital of North Carolina.|Raleigh|10|Capitals
84|84|Name the capital of North Dakota.|Bismarck|15|Capitals
85|85|Name the capital of Oklahoma.|Oklahoma City|5|Capitals
86|86|Name the capital of Oregon.|Salem|15|Capitals
88|88|Name the capital of Rhode Island.|Providence|20|Capitals
92|92|Name the capital of Texas.|Austin|10|Capitals
